time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-07-18,25.06,21.75,,,5.3,,,1.91,,,,83.42,Esmeraldas,0.6955,-79.224
2015-07-19,25.02,21.96,,,11.0,,,1.94,,,,84.55,Esmeraldas,0.6955,-79.224
2015-07-20,25.09,22.06,,,11.51,,,1.81,,,,84.62,Esmeraldas,0.6955,-79.224
2015-07-21,25.31,21.97,,,6.37,,,2.26,,,,83.27,Esmeraldas,0.6955,-79.224
2015-07-22,24.78,21.27,,,1.82,,,2.05,,,,82.38,Esmeraldas,0.6955,-79.224
2015-07-23,25.51,21.62,,,1.46,,,1.58,,,,81.04,Esmeraldas,0.6955,-79.224
2015-07-24,26.07,22.44,,,6.01,,,1.83,,,,82.28,Esmeraldas,0.6955,-79.224
2015-07-25,26.54,22.54,,,1.07,,,2.19,,,,80.72,Esmeraldas,0.6955,-79.224
2015-07-26,26.29,22.05,,,1.0,,,2.38,,,,79.49,Esmeraldas,0.6955,-79.224
2015-07-27,25.65,22.05,,,1.59,,,2.16,,,,82.03,Esmeraldas,0.6955,-79.224
2015-07-28,25.48,22.12,,,1.15,,,1.97,,,,83.1,Esmeraldas,0.6955,-79.224
2015-07-29,25.96,21.85,,,1.03,,,2.35,,,,80.24,Esmeraldas,0.6955,-79.224
2015-07-30,26.11,21.47,,,0.56,,,2.09,,,,78.15,Esmeraldas,0.6955,-79.224
2015-07-31,26.07,21.6,,,0.43,,,2.34,,,,78.63,Esmeraldas,0.6955,-79.224
2015-08-01,26.4,21.47,,,1.0,,,2.0,,,,76.96,Esmeraldas,0.6955,-79.224
2015-08-02,26.22,21.96,,,1.72,,,1.96,,,,79.7,Esmeraldas,0.6955,-79.224
2015-08-03,26.54,21.91,,,0.4,,,2.12,,,,78.02,Esmeraldas,0.6955,-79.224
2015-08-04,26.75,21.98,,,0.07,,,2.25,,,,77.3,Esmeraldas,0.6955,-79.224
2015-08-05,26.81,22.2,,,0.27,,,2.16,,,,77.8,Esmeraldas,0.6955,-79.224
2015-08-06,26.75,21.88,,,0.08,,,2.49,,,,76.81,Esmeraldas,0.6955,-79.224
2015-08-07,26.7,21.36,,,0.27,,,2.42,,,,74.93,Esmeraldas,0.6955,-79.224
2015-08-08,25.43,20.81,,,0.85,,,2.46,,,,77.28,Esmeraldas,0.6955,-79.224
2015-08-09,25.91,20.22,,,0.05,,,2.5,,,,73.29,Esmeraldas,0.6955,-79.224
2015-08-10,26.19,19.98,,,0.43,,,2.34,,,,71.68,Esmeraldas,0.6955,-79.224
2015-08-11,25.42,19.76,,,0.56,,,2.15,,,,73.97,Esmeraldas,0.6955,-79.224
2015-08-12,26.18,19.77,,,0.06,,,2.34,,,,71.3,Esmeraldas,0.6955,-79.224
2015-08-13,25.86,19.83,,,0.04,,,2.52,,,,72.02,Esmeraldas,0.6955,-79.224
2015-08-14,25.7,19.77,,,0.14,,,2.29,,,,72.34,Esmeraldas,0.6955,-79.224
2015-08-15,26.46,20.31,,,0.1,,,2.14,,,,71.97,Esmeraldas,0.6955,-79.224
2015-08-16,25.88,20.66,,,0.06,,,2.31,,,,75.05,Esmeraldas,0.6955,-79.224
2015-08-17,26.23,20.52,,,0.02,,,2.11,,,,73.29,Esmeraldas,0.6955,-79.224
2015-08-18,27.19,20.3,,,0.81,,,2.12,,,,70.52,Esmeraldas,0.6955,-79.224
2015-08-19,27.08,21.15,,,0.31,,,2.28,,,,73.2,Esmeraldas,0.6955,-79.224
2015-08-20,26.9,20.76,,,0.1,,,2.53,,,,72.05,Esmeraldas,0.6955,-79.224
2015-08-21,26.87,19.36,,,0.06,,,2.55,,,,66.97,Esmeraldas,0.6955,-79.224
2015-08-22,26.73,19.87,,,0.04,,,2.42,,,,69.56,Esmeraldas,0.6955,-79.224
2015-08-23,26.94,20.67,,,0.14,,,2.38,,,,71.34,Esmeraldas,0.6955,-79.224
2015-08-24,26.65,20.67,,,0.23,,,2.86,,,,72.39,Esmeraldas,0.6955,-79.224
2015-08-25,26.29,19.41,,,0.38,,,2.53,,,,69.11,Esmeraldas,0.6955,-79.224
2015-08-26,25.96,19.8,,,1.23,,,2.2,,,,71.86,Esmeraldas,0.6955,-79.224
2015-08-27,26.65,19.98,,,0.31,,,2.54,,,,70.56,Esmeraldas,0.6955,-79.224
2015-08-28,26.65,20.09,,,0.19,,,2.37,,,,70.05,Esmeraldas,0.6955,-79.224
2015-08-29,26.83,19.57,,,0.15,,,2.68,,,,68.26,Esmeraldas,0.6955,-79.224
2015-08-30,26.88,19.54,,,0.04,,,2.51,,,,67.77,Esmeraldas,0.6955,-79.224
2015-08-31,27.13,20.12,,,0.28,,,2.53,,,,68.81,Esmeraldas,0.6955,-79.224
2015-09-01,27.2,19.89,,,0.14,,,2.82,,,,68.09,Esmeraldas,0.6955,-79.224
2015-09-02,27.31,20.24,,,0.15,,,2.47,,,,68.57,Esmeraldas,0.6955,-79.224
2015-09-03,27.44,20.33,,,0.04,,,2.65,,,,68.27,Esmeraldas,0.6955,-79.224
2015-09-04,27.31,20.03,,,0.85,,,2.52,,,,67.9,Esmeraldas,0.6955,-79.224
2015-09-05,27.06,20.0,,,0.34,,,2.73,,,,68.9,Esmeraldas,0.6955,-79.224
2015-09-06,26.69,20.18,,,14.45,,,2.46,,,,70.76,Esmeraldas,0.6955,-79.224
